Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
hs_email_is_ineligible,Is globally ineligible,bool,emailinformation,Indicates the contact is globally ineligible for email.
hs_email_last_click_date,Last marketing email click date,datetime,emailinformation,The date of the most recent link click for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_last_email_name,Last marketing email name,string,emailinformation,The name of the last marketing email sent to the current email address. This is automatically set by HubSpot.
hs_email_last_open_date,Last marketing email open date,datetime,emailinformation,The date of the most recent open for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_last_reply_date,Last marketing email reply date,datetime,emailinformation,The date of the latest reply for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_last_send_date,Last marketing email send date,datetime,emailinformation,The date of the most recent delivery for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_open,Marketing emails opened,number,emailinformation,The number of marketing emails opened for the current email address. This is automatically set by HubSpot.
hs_email_optimal_send_day_of_week,Optimal Marketing Email Send Day of Week,string,emailinformation,
hs_email_optimal_send_time_of_day,Optimal Marketing Email Send Time of Day ,string,emailinformation,
hs_email_optout,Unsubscribed from all email,bool,emailinformation,Indicates that the current email address has opted out of all email.
hs_email_optout_314083230,Opted out of email: One to One,enumeration,emailinformation,Indicates that the current email address has opted out of this email type.
hs_email_optout_314083234,Opted out of email: Informaciones de Marketing,enumeration,emailinformation,Indicates that the current email address has opted out of this email type.
hs_email_optout_531024859,Opted out of email: Customer Service Communication,enumeration,emailinformation,Indicates that the current email address has opted out of this email type.
hs_email_quarantined,Email Address Quarantined,bool,emailinformation,Indicates that the current email address has been quarantined for anti-abuse reasons and any marketing email sends to it will be blocked. This is automatically set by HubSpot.
hs_email_quarantined_reason,Email address automated quarantine reason,enumeration,emailinformation,The automated reason why the email address has been quarantined.
hs_email_recipient_fatigue_recovery_time,Email Address Recipient Fatigue Next Available Sending Time,datetime,emailinformation,"When this recipient has reached the limit of email sends per time period, this property indicates the next available time to send. This is automatically set by HubSpot."
hs_email_replied,Marketing emails replied,number,emailinformation,The number of marketing emails replied to by the current email address. This is automatically set by HubSpot.
hs_email_sends_since_last_engagement,Sends Since Last Engagement,number,emailinformation,The number of marketing emails that have been sent to the current email address since the last engagement (open or link click). This is automatically set by HubSpot.
hs_emailconfirmationstatus,Marketing email confirmation status,enumeration,emailinformation,The status of a contact's eligibility to receive marketing email. This is automatically set by HubSpot.
hs_employment_change_detected_date,Employment change detected date,date,emailinformation,Date contact confirmed no longer employed at current company
hs_enriched_email_bounce_detected,Enriched Email Bounce Detected,bool,emailinformation,Bounce Detected attribute is populated when Hubspot & it’s partners identify the email may not be deliverable or is no longer valid for that contact.
hs_facebook_ad_clicked,Clicked Facebook ad,bool,conversioninformation,Whether contact has clicked a Facebook ad
hs_facebook_click_id,Facebook click id,string,conversioninformation,
hs_facebookid,Facebook ID,string,socialmediainformation,A contact's facebook id
hs_feedback_last_ces_survey_date,Last CES survey date,datetime,contact_activity,The time that this contact last submitted a CES survey response.
hs_feedback_last_ces_survey_follow_up,Last CES survey comment,string,contact_activity,Last CES survey comment from this contact.
hs_feedback_last_ces_survey_rating,Last CES survey rating,number,contact_activity,Last CES survey rating from this contact.
hs_feedback_last_csat_survey_date,Last CSAT survey date,datetime,contact_activity,The time that this contact last submitted a CSAT survey response. This is automatically set by HubSpot.
